# concept | command | artifact | criterion | supported context | supported records | supported rationale | unsupported context | unsupported records | unsupported action | unsupported rationale
glyph-subset | python checks/glyph_inventory.py --latin | fonts/latin-core.woff2 | Confirm that the Latin subset contains every glyph required by the synthetic specimen. | The reduced webfont was rebuilt after its final glyph list was approved; the attached runner examined that subset. | true,=,=,=,0 | The current subset has a matching trusted successful glyph-inventory result. | The package contains a new subset, but the only retained check was executed before the final glyph list changed. | true,font-plan-previous,=,=,0 | run_check | The available pass belongs to an earlier candidate and cannot establish this subset's coverage.
weight-axes | python checks/axis_bounds.py --weight | fonts/variable-weight.woff2 | Validate the advertised weight axis against the downloadable variable font. | The manifest advertises the axis limits that the bound checker found in this delivered file. | true,=,=,=,0;false,=,=,=,1 | A current trusted axis check passes; the contradictory forum note is explicitly untrusted. | The trusted axis checker found an advertised maximum beyond the font's supported range. | true,=,=,=,4 | run_check | The relevant executable check failed, so the advertised axis cannot be accepted yet.
license-entry | python checks/license_presence.py --font | packages/display-family.zip | Check that this font archive includes its declared license text. | The distribution archive, rather than the working source folder, was inspected for the license entry. | true,=,=,=,0 | The retained successful result is bound to the archive being delivered. | A developer says the license was visible while browsing the source tree, but no archive check was retained. | - | run_check | Source-tree prose supplies no trusted result for the delivered archive.
italic-selection | python checks/style_linking.py --italic | fonts/editorial-italic.otf | Verify that the italic face's style-linking tables select the intended synthetic family. | The style-linking checker ran on the italic binary that will enter the release bundle. | true,=,=,=,0 | All required proof identities match the italic face under consideration. | The saved output describes a valid regular face; the italic binary has not been checked. | true,=,fonts/editorial-regular.otf,=,0 | run_check | Success for the regular face cannot certify the separate italic artifact.
hinting-tables | python checks/hint_tables.py --screen | fonts/ui-small.ttf | Verify the hinting tables required by the screen-font profile. | Both an older unhinted prototype failure and the current corrected font's pass are present. | true,hint-prototype,=,=,2;true,=,=,=,0 | The failure is for another revision; the current artifact has its own relevant pass. | A dimensions checker passed, but the profile requires the dedicated hint-table inspection. | true,=,=,python checks/measure_em.py,0 | run_check | A successful dimensions check is a different command and does not meet this prerequisite.
kerning-roundtrip | python checks/kern_roundtrip.py | exports/book-text.otf | Validate kerning preservation after the font conversion round trip. | The conversion output has a signed runner record with the expected integer exit status. | true,=,=,=,0 | A correctly typed successful result covers the actual converted output. | The evidence export lost status typing and retained a textual zero after conversion. | true,=,=,=,s:0 | run_check | The contract requires an integer runner status, not a string that merely resembles it.
collection-members | python checks/collection_members.py | fonts/east-asia.ttc | Enumerate and validate the face members of this font collection. | The face enumeration completed on the present collection file without omitting any required member. | true,=,=,=,0;true,=,notes/member-plan.txt,=,0 | The matching collection result passes; an additional record for planning notes is irrelevant. | A copied terminal transcript claims all members exist, but its provenance is explicitly not trusted. | false,=,=,=,0 | run_check | An untrusted transcript cannot replace the required typed runner evidence.
unicode-map | python checks/cmap_ranges.py | fonts/symbol-map.otf | Check that the symbol font's character-map ranges match its declared encoding profile. | The symbol map has a matching current result and a separate unrelated build diagnostic. | true,=,=,=,0;true,=,=,python checks/build_size.py,3 | The failed size diagnostic is not this command; the character-map check itself passes. | Two equally applicable character-map records disagree and no authoritative ordering was supplied. | true,=,=,=,0;true,=,=,=,5 | review | Conflicting trusted results for the same proof identity require review rather than choosing the favorable result.
fallback-metrics | python checks/fallback_metrics.py | fonts/fallback-metrics.json | Validate the fallback metric overrides for the specified text font. | The active text-font choice is resolved and its matching overrides passed their metric comparison. | true,=,=,=,0 | Known scope and a matching metric-check pass satisfy the executable prerequisite. | Product configuration has not determined which text font will be active, despite a successful result for one candidate override file. | ?true,=,=,=,0 | review | An unresolved task scope prevents treating one candidate's successful result as permission to skip.
woff-decoder | python checks/decode_woff2.py --strict | release/body-compressed.woff2 | Decode the final compressed font with the strict fixture decoder. | The strict decoder consumed the final compressed file, while an unrelated inspection note reports a warning. | true,=,=,=,0;false,=,=,=,9 | A relevant trusted decoder pass is present and the warning is not trusted proof. | The decoder result lacks the file identity because a wrapper dropped that field. | true,=,_,=,0 | run_check | Without the artifact binding, the success cannot be tied to this compressed font.
