# concept | complete skip criterion | sufficient explanation | insufficient explanation | sufficient rationale | insufficient rationale | prerequisite guide
cancellation | Explain how subtraction of nearly equal floating-point values can lose useful significant digits and name a remedy. | Rounding error in each operand can dominate their tiny difference; use an algebraically stable formulation or higher precision when needed. | The subtraction always has the same relative accuracy as its operands, so increasing their magnitudes prevents cancellation. | Names the amplification of prior rounding in a small difference and an appropriate remedy. | Claims relative accuracy is preserved and recommends a magnitude change that does not repair cancellation. | Subtracting two nearby approximations can leave a result whose leading meaningful digits were already lost during earlier rounding. The subtraction operation need not itself be unusually inaccurate for relative error in the result to be large. Inspect the expression's conditioning and prefer a stable algebraic reformulation; additional precision can help when no suitable reformulation exists. Compare against a higher-precision reference on near-equal inputs.
decimal-fractions | Explain why repeated additions of a decimal fraction can disagree with the mathematical decimal total in binary floating point. | Many decimal fractions have no finite binary expansion, so stored approximations and repeated rounding can accumulate error. | Decimal literals are stored as their exact written digits; any discrepancy after addition proves a compiler bug. | Connects nonrepresentable fractions to rounded storage and arithmetic. | Incorrectly assumes an exact decimal representation for binary floating point. | Binary floating-point formats represent a finite subset of numbers. A decimal such as one tenth generally needs an infinite binary expansion and is rounded to a nearby representable value. Arithmetic rounds again where necessary. Choose decimal or fixed-point arithmetic when the application's contract requires exact decimal units, and otherwise select a justified comparison tolerance instead of expecting exact decimal identities.
relative-tolerance | Explain why a numerical comparison often needs both absolute and relative tolerances. | Relative error scales with magnitude but becomes unsuitable near zero; an absolute floor handles that region while a relative term handles larger values. | Use one fixed percentage for every comparison, including a reference value of zero, because a percentage is scale independent. | Explains both magnitude scaling and the near-zero limitation. | A percentage alone does not supply a meaningful nonzero tolerance around zero. | A common comparison bounds the absolute difference by the larger of an absolute tolerance and a relative tolerance times the compared magnitudes. The absolute term controls behavior around zero. The relative term permits errors proportional to scale. Both values must come from the problem's accuracy requirements; a library default is not evidence that two scientific or engineering results are interchangeable.
nonassociativity | Explain why parallel regrouping of a floating-point sum can change its result. | Each addition rounds, so regrouping changes the intermediate rounded values; a different reduction tree can therefore produce a different final sum. | Addition is associative over real numbers, so every thread count must produce exactly the same floating-point bits. | Distinguishes real arithmetic from sequences of rounded operations. | Transfers a real-number identity to finite-precision arithmetic without accounting for rounding. | A parallel reduction commonly changes the grouping of additions when the worker count changes. In finite precision, rounding occurs at intermediate operations, so the result can change even when every input appears exactly once. If reproducibility matters, specify a reduction order or a reproducible summation algorithm and test the supported execution modes. Bitwise disagreement alone does not identify missing data.
nan-comparison | Explain why comparing a floating-point value to NaN with equality does not detect NaN. | NaN is unordered and does not compare equal even to itself; use the format's dedicated NaN predicate. | Test value == NaN because any value is equal to itself, including a missing-number marker. | Gives the relevant comparison behavior and the correct detection mechanism. | Assumes reflexive equality for NaN and therefore proposes a check that does not detect it. | NaN propagates through many floating-point operations and signals an invalid or indeterminate numerical result. Ordinary equality is not a NaN test: NaN does not compare equal to itself. Use an explicit is-NaN predicate, then decide whether to reject, propagate or record the condition. Do not silently replace NaN with zero unless that behavior belongs to the application contract.
large-integers | Explain how an integer can lose exactness when converted to a floating-point format with limited significand precision. | Above the exact consecutive-integer range, adjacent integers share representable values, so conversion may round an identifier even without arithmetic. | Floating-point numbers can express huge magnitudes, therefore every smaller integer remains exact when converted. | Separates representable magnitude from the spacing between representable values. | Confuses range with precision and ignores rounding during conversion. | A format's largest magnitude says nothing about whether every integer below that magnitude is representable. With a fixed significand width, spacing grows as magnitude grows. Large neighboring integers can map to the same floating-point value. Keep identifiers and exact counters in integer or textual form where required, and test serialization boundaries with values near the format's consecutive-integer limit.
overflow-order | Explain why multiplying before dividing can overflow even when the intended final mathematical value is representable. | The intermediate product can exceed the format's range before division reduces it; rearrange or rescale with attention to accuracy and zero cases. | If the final real-number answer fits, intermediate operations cannot overflow because the processor sees the whole expression. | Identifies the oversized intermediate and qualifies the proposed rearrangement. | Assumes a guarantee across the expression that ordinary evaluated operations do not provide. | Intermediate results are evaluated within the chosen numerical format. A product may overflow before a later division would have reduced it to an ordinary value. Rescaling or rearranging operations can avoid overflow, but can introduce different underflow, rounding or zero-division behavior. Exercise boundary values and compare to a suitable reference rather than replacing expressions solely on algebraic appearance.
underflow | Explain how gradual underflow differs from abruptly replacing every very small nonzero result with zero. | Subnormal values preserve a diminishing amount of precision below the normal range, whereas flush-to-zero discards that nonzero tail immediately. | Underflow always means the operation produced exactly zero; a stored nonzero subnormal indicates memory corruption. | Describes the representational role and reduced precision of subnormals. | Incorrectly excludes the subnormal range from legitimate floating-point values. | Many floating-point environments support subnormal values below the smallest normal magnitude. These allow gradual loss of precision instead of an immediate jump to zero. Some execution modes flush such values to zero for performance. Record the relevant mode when tiny values matter, and test algorithms near underflow; identical source expressions can behave differently under different runtime settings.
compensated-sum | Explain what compensated summation tracks and why it can improve summation accuracy. | It carries an estimate of low-order rounding loss into later additions, reducing accumulated error without making every possible sum exact. | It stores the same running sum twice; having two copies guarantees an exact result regardless of input order. | Names rounding compensation and avoids an unjustified exactness guarantee. | Misdescribes the mechanism and claims impossible universal exactness. | Compensated summation maintains a correction for low-order information lost during additions. Feeding that correction into later steps often improves accuracy when magnitudes differ. It has limitations and is not a proof that the mathematical sum is represented exactly. Evaluate the error and overhead on the actual input distribution and retain a higher-precision or exact reference for carefully chosen difficult cases.
roundtrip-text | Explain why limiting printed significant digits can break a floating-point value's text round trip. | Too few digits can identify a different representable value when parsed; use a round-trip formatting algorithm when preserving the original value matters. | Human-readable decimal output is always exact, so trimming digits affects appearance but never reparsing. | Explains how formatting precision affects parsed identity. | Treats discarded numerical information as presentation-only information. | Serializing a floating-point number to text introduces a separate representation choice. A short rounded display may parse to a different floating-point value. Use a formatter designed to round-trip when persistence or reproducibility requires the original value. Keep display formatting separate from storage formatting, and verify with difficult values rather than a few short decimal examples.
